Chiplet,Core,Lane,Vector_Size,cin,cout,out_size,kernel_size,stride,OL1,AL1,WL1,real_WL1,AL2,reorder_case,rotation_enable,runtime,area-chiplet,area-package,total_memory_footprint,total_energy,chiplet_communication,dram_communication,DRAM_energy_A,DRAM_energy_W,DRAM_Energy,Die-to-Die_Energy,A-L2_Energy,A-L1_Energy,W-L1_Energy,Output_Energy,MAC_Energy,MOL1,MAL1,MWL1,sMWL1,MAL2,X1,Y1,K1,X2,Y2,K2,Kp,Yp,Kc,Yc,Xc,C1,C0,Csa,X0,Y0,note
4,8,16,8,8,64,224,3,1,384,65536,9344,9344,368640,2,False,129024.0,2081613.699,8326454.796,1148.0,658172579.601105,0,43188224,22897799.272651162,1453830.2726602752,26613056.0,0.0,10723.3950007296,11396.9124605952,5932.858186137601,618847895.1394575,12683575.296,2113929216,66060288,294912,576b,4644864,4,4,1,14,4,1,1,4,8,1,1,1,8,1,4,4,conv1
4,8,16,8,8,64,224,3,1,1536,65536,9344,9344,368640,1,False,129024.0,2094001.8059999999,8376007.223999999,1148.0,655687869.7576735,0,39174144,20424271.57344502,1453830.2726602752,24139536.0,0.0,7460.8806322176,7914.52254208,1487.9190417408001,618847895.1394575,12683575.296,2113929216,45875200,294912,576b,4143104,4,4,1,7,2,1,1,4,8,1,1,1,8,1,8,8,conv1
4,8,16,8,8,64,224,3,1,1536,65536,9344,9344,368640,2,False,129024.0,2094001.8059999999,8376007.223999999,1148.0,655687869.7576735,0,39174144,20424271.57344502,1453830.2726602752,24139536.0,0.0,7460.8806322176,7914.52254208,1487.9190417408001,618847895.1394575,12683575.296,2113929216,45875200,294912,576b,4143104,4,4,1,7,2,1,1,4,8,1,1,1,8,1,8,8,conv1
4,8,16,8,8,64,224,3,1,24,65536,74752,9344,368640,1,False,56448.0,2077742.4155625,8310969.66225,1148.0,373518839.542376,0,157646848,89046997.17142119,181728.7840825344,97143712.0,0.0,18918.385532928,19944.5968060416,41486.88276357121,270745713.4852735,5549064.192,924844032,115605504,36864,576b,18063360,4,4,1,28,14,1,4,1,1,4,2,1,8,1,1,1,conv1
4,8,16,8,8,64,224,3,1,24,65536,74752,9344,368640,2,False,56448.0,2077742.4155625,8310969.66225,1148.0,373518839.542376,0,157646848,89046997.17142119,181728.7840825344,97143712.0,0.0,18918.385532928,19944.5968060416,41486.88276357121,270745713.4852735,5549064.192,924844032,115605504,36864,576b,18063360,4,4,1,28,14,1,4,1,1,4,2,1,8,1,1,1,conv1
4,8,16,8,8,64,224,3,1,96,65536,74752,9344,368640,1,False,56448.0,2078516.6722499998,8314066.688999999,1148.0,360109238.831031,0,135970816,75689947.59570801,181728.7840825344,83786704.0,0.0,8520.5797576704,8864.2652471296,10372.3087527936,270745713.4852735,5549064.192,924844032,51380224,36864,576b,15353856,4,4,1,14,7,1,4,1,1,4,2,1,8,1,2,2,conv1
4,8,16,8,8,64,224,3,1,96,65536,74752,9344,368640,2,False,56448.0,2078516.6722499998,8314066.688999999,1148.0,360109238.831031,0,135970816,75689947.59570801,181728.7840825344,83786704.0,0.0,8520.5797576704,8864.2652471296,10372.3087527936,270745713.4852735,5549064.192,924844032,51380224,36864,576b,15353856,4,4,1,14,7,1,4,1,1,4,2,1,8,1,2,2,conv1
4,8,16,8,8,64,224,3,1,384,65536,74752,9344,368640,1,False,64512.0,2081613.699,8326454.796,1148.0,404301504.75320685,0,143654912,79294230.81455125,181728.7840825344,88521728.0,0.0,5572.8757260288,5698.4562302976,2964.0768454656004,309423753.69640505,6341787.648,1056964608,33030144,36864,576b,16084992,4,4,1,7,4,1,4,1,1,4,2,1,8,1,4,4,conv1
4,8,16,8,8,64,224,3,1,384,65536,74752,9344,368640,2,False,64512.0,2081613.699,8326454.796,1148.0,404301504.75320685,0,143654912,79294230.81455125,181728.7840825344,88521728.0,0.0,5572.8757260288,5698.4562302976,2964.0768454656004,309423753.69640505,6341787.648,1056964608,33030144,36864,576b,16084992,4,4,1,7,4,1,4,1,1,4,2,1,8,1,4,4,conv1
4,8,16,8,8,64,224,3,1,1536,65536,74752,9344,368640,1,False,73728.0,2094001.8059999999,8376007.223999999,1148.0,459361240.3690438,0,159809536,87956625.77748542,181728.7840825344,98476384.0,0.0,4500.8101638144,4522.58430976,847.4391576576,353627228.22341263,7247757.312,1207959552,26214400,36864,576b,17842176,4,2,1,4,4,1,4,1,1,4,2,1,8,1,8,8,conv1
